STATE,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
CA,13,E,U,F,2,4,N,L,F,A,S,1
IL,8,I,H,F,2,4,N,L,G,A,U,3
other,51,I,U,F,0,4,N,L,E,D,R,3
GA,46,I,U,F,0,4,N,L,F,C,R,2
GA,31,U,U,M,0,4,N,L,F,B,C,3
NC,47,E,U,M,3,4,N,L,F,D,R,2
WI,51,U,U,F,3,4,N,L,F,D,R,3
other,13,U,U,M,0,4,N,L,G,A,S,1
CA,14,E,H,M,3,4,N,L,F,A,S,1
other,46,E,U,M,2,4,N,L,F,D,R,2
other,12,E,H,F,3,12,N,L,G,A,S,1
MI,10,E,H,F,2,4,N,L,F,A,U,4
MI,20,U,U,F,1,4,N,L,D,A,S,2
WA,40,I,U,F,0,4,N,L,D,A,T,2
other,40,U,U,F,0,4,N,L,F,B,R,2
TX,14,U,U,M,0,12,N,L,G,A,S,1
CA,12,E,H,M,3,4,N,L,F,A,S,1
IN,48,E,U,F,3,4,N,L,F,D,R,2
other,51,U,U,F,0,4,N,L,F,B,R,3
other,42,E,H,M,2,4,N,L,F,D,R,1
NC,47,U,U,M,0,4,N,L,E,B,R,2
MI,5,E,H,F,3,0,N,L,G,A,U,2
other,50,U,U,F,0,4,N,L,F,D,R,3
FL,35,E,H,M,3,4,N,L,E,C,T,1
other,53,E,H,F,3,4,N,L,F,B,R,3
MI,43,E,U,F,3,4,N,L,F,C,R,2
CA,40,E,H,F,3,12,N,L,F,A,R,2
MI,17,E,U,M,2,4,Y,L,F,A,S,2
CA,15,U,U,M,0,4,N,L,F,A,S,1
TX,14,E,H,M,3,4,N,L,G,A,S,1
other,20,E,H,F,2,4,N,L,F,A,S,2
WA,2,E,H,M,2,4,N,L,F,A,U,1
other,39,E,H,F,3,4,N,L,D,B,T,2
FL,53,I,U,M,0,4,N,L,F,B,R,3
other,24,U,U,F,3,4,N,L,F,B,C,1
FL,39,E,H,M,3,4,Y,L,F,B,T,2
CA,20,U,H,other,1,4,N,L,G,A,S,2
CA,39,U,U,M,0,4,N,L,F,B,T,2
FL,50,U,U,F,0,4,N,L,E,B,R,3
other,41,E,H,F,2,4,N,L,E,C,T,3
TX,23,E,H,M,3,4,N,L,D,C,C,1
CA,15,E,H,M,3,4,N,L,F,A,S,1
FL,11,U,U,F,0,4,N,L,F,A,S,1
other,36,E,U,F,2,4,N,L,F,B,T,2
other,39,U,U,F,0,4,N,L,F,C,T,2
other,40,E,H,M,3,4,N,L,G,B,T,2
other,40,E,U,F,3,4,N,L,E,B,T,2
CA,18,U,U,F,1,4,N,L,E,A,S,2
other,36,U,H,M,3,4,N,L,F,D,T,2
IL,9,E,H,M,2,4,Y,L,F,A,U,3
CA,5,U,U,M,0,4,N,L,E,A,U,2
other,12,I,H,F,1,4,N,L,F,B,S,1
other,51,U,U,M,2,4,N,L,E,D,R,3
IN,49,U,U,M,3,4,N,L,G,C,R,2
MI,13,I,H,F,3,4,N,L,G,A,S,1
FL,8,E,H,F,3,4,N,L,E,A,U,3
IL,12,E,H,M,1,4,N,L,G,A,S,1
CA,14,E,U,F,2,4,N,L,F,A,S,1
IN,43,U,U,F,1,4,N,L,E,D,R,2
GA,15,U,U,F,0,4,N,L,E,A,S,1
NC,50,U,U,M,2,4,Y,L,F,C,R,3
CA,27,E,H,F,3,4,N,L,G,B,C,2
TX,45,E,H,F,2,4,N,L,E,D,R,2
other,38,E,H,F,3,0,N,L,F,B,T,2
MI,10,E,H,F,2,4,Y,L,F,A,U,4
CA,36,U,U,M,0,4,N,L,D,B,T,2
other,2,E,H,M,3,4,N,L,D,A,U,1
other,35,U,U,F,0,4,N,L,E,B,T,1
MI,44,U,U,M,0,4,N,L,G,B,R,2
MI,49,U,U,M,0,4,N,L,E,B,R,2
FL,22,U,U,M,0,4,N,L,E,B,C,1
other,14,E,H,F,3,4,N,L,F,C,S,1
other,50,E,U,F,3,4,N,L,F,D,R,3
other,7,U,U,M,0,4,N,L,G,B,U,2
FL,29,U,H,M,3,4,N,L,D,A,C,2
TX,44,I,H,F,2,4,N,L,G,C,R,2
CA,6,U,U,M,0,4,N,L,E,A,U,2
FL,4,E,U,M,2,4,N,L,F,A,U,2
MO,36,E,H,F,3,4,N,L,F,D,T,2
CA,11,I,U,other,0,4,N,L,F,A,S,1
CA,12,U,U,M,0,4,N,L,G,A,S,1
CA,44,E,H,M,2,12,N,L,F,B,R,2
other,40,U,U,other,1,4,N,L,F,A,R,2
WI,16,U,U,F,0,4,Y,L,E,B,S,2
CA,1,E,H,M,3,4,N,L,F,A,U,1
GA,49,E,H,M,3,4,N,L,F,D,R,2
other,48,E,H,F,3,4,Y,L,E,D,R,2
MI,12,E,H,F,2,4,Y,L,F,A,S,1
other,36,U,U,F,0,4,N,L,F,B,T,2
IL,8,E,H,F,3,4,N,L,D,A,U,3
other,24,E,H,M,3,4,N,L,F,B,C,1
CA,42,U,H,M,3,4,N,L,E,A,R,1
IN,43,U,H,M,2,4,N,L,G,D,R,2
CA,3,E,H,M,3,4,N,L,G,A,U,1
IL,16,U,H,F,3,4,N,L,F,A,S,2
other,41,E,H,M,3,4,N,L,F,C,T,3
TX,7,E,H,M,3,4,N,L,F,A,U,2
FL,21,E,H,M,3,4,N,L,G,B,S,3
WI,44,E,H,F,3,4,N,L,F,C,R,2
NC,43,E,U,M,3,12,N,L,F,C,R,2
CA,33,I,U,F,0,4,N,L,E,A,C,3
GA,35,U,H,M,3,4,N,L,F,D,T,1
CA,24,E,H,F,3,4,Y,L,E,A,C,1
CA,27,I,U,F,0,4,N,L,F,A,C,2
FL,46,U,U,F,0,4,N,L,E,C,R,2
FL,8,E,H,M,3,4,Y,L,F,A,U,3
other,16,E,H,M,3,12,N,L,G,B,S,2
other,2,I,H,F,1,4,N,L,F,B,U,1
other,18,E,H,M,2,4,N,L,G,B,S,2
other,8,E,H,F,3,4,N,L,E,B,U,3
other,10,U,U,F,0,4,N,L,E,A,U,4
FL,29,E,H,M,3,4,N,L,E,B,C,2
CA,3,E,U,F,3,12,N,L,G,A,U,1
other,42,U,U,F,0,4,N,L,G,C,R,1
FL,29,E,H,M,3,4,N,L,E,B,C,2
WA,40,E,H,F,3,4,Y,L,G,A,T,2
other,53,U,U,M,2,4,N,L,F,D,R,3
WA,42,E,U,M,2,4,N,L,F,D,R,1
MI,20,E,H,M,3,4,N,L,F,A,S,2
CA,49,E,H,F,3,4,N,L,F,A,R,2
other,50,I,U,M,0,4,N,L,F,D,R,3
MI,43,E,U,M,3,12,N,L,G,C,R,2
CA,14,E,H,F,3,4,N,L,F,A,S,1
other,24,E,H,M,3,12,N,L,F,B,C,1
FL,28,E,H,F,3,4,N,L,G,B,C,2
other,50,E,U,F,2,4,Y,L,G,C,R,3
WA,49,I,U,F,0,4,N,L,G,C,R,2
MO,28,U,U,F,0,4,N,L,F,C,C,2
other,10,U,U,M,1,4,N,L,F,A,U,4
other,47,E,U,M,2,4,N,L,E,D,R,2
MI,5,E,H,M,3,4,N,L,E,A,U,2
FL,17,E,U,M,1,4,N,L,G,B,S,2
other,47,E,H,F,3,4,N,L,F,D,R,2
FL,35,U,U,F,0,4,N,L,D,B,T,1
other,45,U,U,M,3,4,N,L,F,D,R,2
CA,10,E,H,F,3,4,N,L,E,A,U,4
other,8,E,U,F,3,4,N,L,E,C,U,3
other,36,E,U,M,3,4,N,L,E,C,T,2
other,53,U,U,F,3,4,N,L,F,D,R,3
CA,3,E,U,M,3,4,N,L,G,A,U,1
MI,40,I,U,M,0,4,N,L,F,A,T,2
TX,27,E,H,F,2,4,N,L,F,C,C,2
FL,23,E,H,M,1,4,N,L,E,A,C,1
MI,40,E,H,F,3,4,N,L,F,C,R,2
CA,8,E,H,F,3,4,N,L,G,A,U,3
TX,13,E,H,M,3,4,N,L,E,A,S,1
other,41,E,H,F,2,4,Y,L,F,B,T,3
other,35,E,H,F,3,4,Y,L,F,C,T,1
FL,27,E,H,M,3,4,N,L,F,B,C,2
CA,7,I,H,F,3,4,N,L,E,A,U,2
IL,1,E,H,F,1,4,Y,L,F,A,U,1
WA,49,E,H,F,3,4,N,L,F,C,R,2
WA,49,I,H,F,2,4,N,L,F,A,R,2
CA,24,E,H,M,3,4,N,L,F,A,C,1
FL,29,E,H,F,3,12,N,L,F,B,C,2
IL,49,E,H,M,3,4,N,L,G,D,R,2
other,21,U,U,M,0,4,N,L,F,A,S,3
GA,35,E,H,F,3,4,N,L,F,D,T,1
other,18,I,U,F,0,4,N,L,G,A,S,2
MI,15,E,U,F,3,4,N,L,F,A,S,1
IN,35,E,H,M,3,4,N,L,F,C,T,1
CA,1,U,U,F,0,4,N,L,G,A,U,1
other,14,E,H,F,3,4,N,L,G,B,S,1
other,36,E,H,M,3,4,Y,L,E,B,T,2
MI,24,E,H,F,1,4,N,L,D,A,C,1
other,32,E,H,M,3,4,N,L,F,B,C,3
other,36,E,H,M,2,4,Y,L,G,D,T,2
IN,14,E,H,F,3,4,N,L,F,B,S,1
IL,1,U,U,F,0,4,N,L,F,A,U,1
FL,36,U,U,F,0,4,N,L,G,B,T,2
WI,17,E,H,F,2,4,N,L,F,B,S,2
TX,30,E,U,F,3,4,N,L,E,C,C,3
GA,41,E,H,M,3,4,N,L,E,A,T,3
other,36,E,U,M,2,4,N,L,F,C,T,2
FL,28,U,H,other,1,4,N,L,F,B,C,2
MI,17,E,H,M,3,4,Y,L,E,A,S,2
NC,47,U,H,F,2,4,N,L,F,C,R,2
WA,35,U,U,F,0,4,N,L,G,C,T,1
NC,46,U,U,F,0,4,N,L,F,C,R,2
other,43,U,U,M,0,4,N,L,F,B,R,2
other,50,U,U,F,0,4,N,L,F,D,R,3
other,27,E,H,M,3,4,N,L,E,B,C,2
TX,14,E,H,M,3,4,N,L,G,B,S,1
other,50,U,U,F,0,4,N,L,F,C,R,3
other,5,U,U,F,0,4,N,L,F,B,U,2
CA,34,U,U,F,0,4,N,L,F,A,T,1
FL,40,E,H,M,3,4,N,L,G,B,T,2
MI,49,E,H,F,3,4,N,L,D,B,R,2
other,23,U,U,F,0,4,N,L,G,C,C,1
CA,12,E,H,F,2,4,N,L,F,A,S,1
other,53,E,U,F,2,4,N,L,E,D,R,3
MO,36,E,H,M,2,4,N,L,E,A,T,2
CA,6,E,H,F,2,4,N,L,D,A,U,2
IL,40,E,H,F,2,4,N,L,G,D,T,2
IN,44,E,H,M,3,4,N,L,F,B,R,2
CA,16,U,H,M,3,4,N,L,F,B,S,2
IL,14,E,H,M,3,12,N,L,F,B,S,1
MI,45,U,U,M,0,4,N,L,F,D,R,2
other,12,U,H,F,3,12,N,L,F,B,S,1
IL,53,E,U,F,2,4,Y,L,F,D,R,3
TX,36,U,U,M,1,4,Y,L,F,C,T,2
CA,2,I,H,F,1,4,N,L,E,A,U,1
IN,30,E,U,M,3,4,N,L,F,B,C,3
MI,10,E,H,M,2,4,N,L,E,A,U,4
GA,49,U,U,M,1,4,N,L,F,D,R,2
other,18,E,H,F,3,4,N,L,F,B,S,2
other,31,E,U,F,2,4,N,L,F,C,C,3
TX,30,E,H,M,3,12,Y,L,D,A,C,3
FL,39,E,U,M,2,4,N,L,F,B,T,2
MI,11,E,H,F,2,4,N,L,G,A,S,1
other,35,E,H,F,2,4,Y,L,F,B,T,1
MI,15,U,H,M,3,4,N,L,G,A,S,1
WI,36,U,U,F,3,4,N,L,F,C,T,2
MI,20,E,H,F,2,4,N,L,G,A,S,2
MO,41,E,U,M,3,12,N,L,D,D,T,3
MI,40,E,H,M,3,4,N,L,E,B,T,2
NC,36,U,U,F,0,4,N,L,G,C,T,2
FL,18,E,H,M,2,4,N,L,F,B,S,2
CA,24,E,H,M,3,4,N,L,G,A,C,1
IN,34,E,H,F,3,4,N,L,E,C,T,1
CA,29,U,U,F,0,4,N,L,E,A,C,2
other,41,E,H,F,3,4,N,L,F,C,T,3
CA,24,E,H,M,2,4,N,L,F,A,C,1
other,46,I,U,F,0,4,N,L,F,C,R,2
TX,53,E,U,F,3,4,N,L,F,D,R,3
other,47,E,H,other,2,4,N,L,F,D,R,2
CA,10,U,U,F,0,4,N,L,E,A,U,4
FL,40,E,H,M,3,4,N,L,E,B,T,2
GA,41,U,U,M,2,4,N,L,F,B,T,3
CA,36,I,U,M,0,4,N,L,D,C,T,2
other,43,E,H,F,2,4,N,L,E,D,R,2
MI,10,E,H,F,2,4,N,L,F,A,U,4
other,27,E,H,F,3,4,N,L,E,D,C,2
FL,28,E,H,M,3,4,Y,L,F,B,C,2
TX,36,U,H,M,2,4,N,L,E,C,T,2
WI,35,E,H,F,3,4,N,L,F,B,T,1
other,1,I,H,F,3,4,N,L,F,B,U,1
other,44,U,U,F,2,4,N,L,F,A,R,2
other,40,E,H,F,3,12,N,L,G,D,R,2
WA,36,E,H,F,2,4,N,L,F,D,T,2
CA,13,I,U,F,0,4,N,L,G,A,S,1
FL,46,U,U,F,0,4,N,L,F,A,R,2
other,39,E,H,M,2,4,N,L,F,B,T,2
CA,14,I,U,M,0,4,N,L,F,A,S,1
IN,49,U,U,F,0,4,Y,L,F,D,R,2
CA,34,U,U,M,0,4,N,L,F,A,T,1
CA,8,E,H,F,3,4,N,L,D,B,U,3
other,18,U,U,F,0,4,Y,L,F,B,S,2
CA,52,E,H,F,3,4,N,L,F,B,R,3
other,18,E,H,F,2,4,Y,L,E,A,S,2
other,11,E,H,F,3,4,N,L,F,B,S,1
TX,39,E,H,F,3,4,N,L,E,D,T,2
other,24,E,H,F,3,4,Y,L,F,B,C,1
NC,36,U,U,M,0,4,N,L,G,C,T,2
CA,13,E,H,F,2,4,N,L,E,A,S,1
CA,20,E,H,F,3,4,N,L,F,A,S,2
other,36,U,U,F,3,4,N,L,G,D,T,2
WI,37,E,H,F,3,4,Y,L,F,C,T,2
MI,31,E,H,F,3,4,N,L,F,A,C,3
WA,20,U,U,F,0,4,N,L,E,A,S,2
TX,11,U,U,M,2,4,N,L,F,B,S,1
IL,28,U,H,F,1,4,N,L,G,A,C,2
TX,22,E,H,M,3,0,N,L,G,C,C,1
other,40,E,H,M,3,4,N,L,F,A,T,2
CA,9,I,U,F,0,4,N,L,E,A,U,3
other,18,E,H,F,2,4,N,L,E,B,S,2
NC,34,E,H,M,3,4,N,L,F,D,T,1
other,1,E,H,F,1,4,N,L,F,B,U,1
FL,31,U,U,F,0,4,N,L,F,A,C,3
other,49,U,U,F,3,4,N,L,G,D,R,2
CA,13,U,H,other,3,4,Y,L,G,A,S,1
other,8,E,H,M,3,4,N,L,F,B,U,3
other,36,E,U,M,1,4,N,L,G,B,T,2
CA,40,U,U,F,0,12,N,L,E,C,T,2
IL,12,E,U,F,2,4,N,L,E,A,S,1
TX,40,E,H,M,3,4,N,L,F,A,T,2
CA,7,E,U,F,2,4,N,L,G,A,U,2
CA,12,E,H,M,2,4,N,L,G,A,S,1
TX,39,E,H,F,3,4,N,L,G,D,T,2
MI,17,E,U,M,1,4,N,L,E,B,S,2
other,40,E,H,F,2,4,N,L,E,B,T,2
other,10,U,U,F,3,4,Y,L,E,B,U,4
FL,17,E,H,F,3,4,N,L,F,B,S,2
TX,12,U,H,M,2,4,N,L,F,C,S,1
other,40,E,H,F,3,12,Y,L,E,B,T,2
other,45,E,H,M,3,4,N,L,F,C,R,2
other,39,E,H,M,3,4,N,L,E,D,T,2
MO,27,E,U,other,2,4,N,L,E,A,C,2
IL,26,E,H,M,3,4,N,L,F,C,C,2
other,37,E,U,F,3,4,N,L,E,D,T,2
TX,36,U,U,F,2,4,N,L,E,D,T,2
CA,13,I,H,F,3,4,N,L,G,A,S,1
other,36,E,H,F,2,4,N,L,E,C,T,2
IL,2,E,H,F,2,4,N,L,F,A,U,1
IL,16,E,H,M,3,4,N,L,F,A,S,2
MO,53,E,H,F,3,4,N,L,E,D,R,3
other,40,E,H,F,2,4,Y,L,E,B,T,2
IL,35,I,U,F,0,4,N,L,F,A,T,1
FL,1,U,U,F,0,4,N,L,E,A,U,1
other,39,E,U,F,2,4,N,L,F,C,T,2
NC,27,E,U,M,1,4,Y,L,F,C,C,2
IL,8,E,U,F,1,4,N,L,E,A,U,3
CA,34,U,U,F,0,4,N,L,G,A,T,1
other,34,I,U,M,0,4,N,L,F,A,T,1
CA,2,U,U,F,0,4,N,L,E,B,U,1
IL,12,E,H,F,3,4,N,L,E,A,S,1
other,14,U,H,other,3,4,N,L,G,B,S,1
MO,43,U,U,other,3,12,N,L,G,D,R,2
MI,38,E,H,M,3,4,N,L,D,B,T,2
other,27,E,H,M,3,4,Y,L,F,C,C,2
IN,35,E,H,M,3,4,N,L,F,A,T,1
MI,12,E,U,M,3,4,N,L,E,B,S,1
NC,35,E,H,F,3,4,N,L,F,B,T,1
TX,41,E,H,M,3,4,N,L,G,D,T,3
MI,28,E,H,M,1,4,N,L,E,B,C,2
CA,13,U,U,M,0,4,N,L,F,A,S,1
IL,18,E,H,M,2,4,N,L,G,A,S,2
other,40,U,H,M,3,4,N,L,F,C,R,2
GA,14,E,H,M,3,4,N,L,F,A,S,1
CA,10,I,U,M,0,4,N,L,F,A,U,4
CA,27,E,H,M,3,4,N,L,F,B,C,2
CA,17,U,U,F,0,4,N,L,F,A,S,2
other,40,U,U,M,0,4,N,L,E,C,T,2
CA,34,E,H,M,2,4,N,L,G,C,T,1
CA,3,U,H,M,3,4,N,L,E,A,U,1
WI,48,U,U,M,0,4,N,L,F,D,R,2
other,50,E,H,F,2,4,N,L,F,D,R,3
CA,5,E,H,F,3,4,N,L,F,A,U,2
CA,2,U,U,F,0,4,N,L,E,A,U,1
TX,9,E,H,M,3,4,N,L,F,B,U,3
GA,27,U,U,F,0,4,N,L,F,A,C,2
FL,18,E,H,M,3,4,Y,L,E,B,S,2
FL,29,E,H,F,3,4,N,L,G,B,C,2
MO,28,U,U,F,0,4,N,L,E,D,C,2
IL,30,E,H,F,3,4,N,L,G,A,C,3
GA,35,I,U,F,0,4,N,L,F,B,T,1
FL,6,U,U,M,0,4,N,L,E,A,U,2
FL,20,U,H,M,1,4,N,L,F,B,S,2
WA,12,E,H,M,2,4,N,L,E,A,S,1
other,51,I,U,F,0,4,Y,L,G,D,R,3
other,46,U,U,M,2,4,N,L,G,D,R,2
other,43,U,U,F,0,4,N,L,D,D,R,2
other,9,U,U,F,0,4,N,L,E,B,U,3
FL,53,U,U,F,0,4,N,L,E,B,R,3
FL,12,E,H,F,3,4,N,L,F,A,S,1
IN,49,U,U,F,2,4,N,L,F,D,R,2
other,25,I,U,F,0,4,N,L,E,B,C,2
other,45,U,U,F,0,4,N,L,F,B,R,2
other,50,E,U,M,3,4,Y,L,F,D,R,3
other,42,U,U,M,3,4,N,L,F,B,R,1
IL,53,U,U,F,2,12,N,L,F,D,R,3
other,42,E,H,F,3,4,Y,L,G,D,R,1
IN,10,E,H,F,2,4,N,L,F,B,U,4
WI,9,E,U,M,3,4,N,L,E,B,U,3
IL,45,E,H,F,3,4,N,L,G,D,R,2
WI,38,E,H,M,3,4,N,L,E,B,T,2
CA,40,U,H,F,1,12,N,L,F,A,R,2
other,40,E,H,M,3,4,N,L,F,C,R,2
FL,13,E,H,F,3,4,N,L,G,B,S,1
IL,36,E,H,F,3,4,N,L,E,D,T,2
other,39,I,U,F,2,4,N,L,G,B,T,2
TX,14,E,H,M,3,4,Y,L,F,A,S,1
other,46,I,U,F,2,4,N,L,E,D,R,2
TX,49,E,U,M,2,4,Y,L,D,D,R,2
WI,49,I,H,M,2,4,N,L,D,D,R,2
MI,44,E,U,F,3,4,N,L,F,C,R,2
other,36,E,U,F,2,4,N,L,F,D,T,2
WA,37,U,U,M,3,4,Y,L,F,D,T,2
other,8,U,U,F,0,4,N,L,G,C,U,3
other,42,E,U,F,2,4,N,L,F,B,R,1
FL,26,E,H,F,3,4,Y,L,E,A,C,2
CA,37,E,H,F,2,4,N,L,F,A,T,2
MI,35,E,H,M,2,4,N,L,G,A,T,1
FL,23,E,H,F,3,4,Y,L,G,A,C,1
other,36,U,U,M,0,4,N,L,G,B,T,2
TX,41,E,H,F,3,4,N,L,F,C,T,3
IL,30,E,H,F,3,4,Y,L,F,C,C,3
CA,28,U,U,M,0,12,N,L,G,A,C,2
MI,11,U,U,F,1,4,N,L,F,A,S,1
MO,28,E,H,F,2,4,N,L,E,C,C,2
other,27,E,U,F,2,4,N,L,F,C,C,2
MO,16,E,H,M,3,4,N,L,F,A,S,2
CA,17,E,H,F,3,4,N,L,F,A,S,2
other,24,U,U,F,2,4,N,L,F,C,C,1
GA,40,U,U,F,0,4,N,L,G,A,T,2
other,3,E,H,F,3,4,N,L,G,A,U,1
CA,10,E,H,M,3,4,N,L,G,A,U,4
WA,51,E,H,M,3,4,N,L,E,D,R,3
other,25,E,H,M,3,4,N,L,F,B,C,2
TX,22,U,U,F,0,4,N,L,G,B,C,1
CA,18,U,U,F,0,4,N,L,G,A,S,2
IN,24,E,H,F,3,4,N,L,F,A,C,1
other,27,E,U,M,1,12,N,L,F,C,C,2
MI,41,I,U,F,3,4,N,L,E,D,T,3
IL,26,U,U,F,0,4,N,L,F,A,C,2
TX,15,U,U,F,0,4,N,L,F,A,S,1
other,38,U,U,M,0,4,N,L,E,A,T,2
other,12,E,H,F,2,4,N,L,F,B,S,1
other,49,U,U,F,0,4,N,L,F,D,R,2
MO,43,E,U,M,3,4,N,L,D,D,R,2
other,8,E,H,M,3,4,Y,L,F,A,U,3
TX,13,E,H,F,3,4,N,L,F,B,S,1
WI,40,E,H,M,3,4,N,L,F,C,T,2
CA,4,U,U,F,0,4,N,L,F,A,U,2
CA,20,E,H,F,2,4,N,L,F,A,S,2
other,30,E,H,F,3,4,N,L,F,C,C,3
other,14,E,H,F,2,4,N,L,G,B,S,1
CA,9,U,U,M,1,4,Y,L,F,A,U,3
TX,11,E,U,M,2,4,N,L,F,B,S,1
IL,40,E,H,M,1,4,N,L,F,B,T,2
IL,40,U,U,M,1,4,N,L,G,C,T,2
MO,51,E,H,F,3,4,N,L,F,D,R,3
other,27,I,U,F,0,4,N,L,F,B,C,2
IN,43,I,H,other,3,4,N,L,E,B,R,2
other,24,E,H,M,3,4,Y,L,E,B,C,1
CA,19,I,H,other,3,4,N,L,F,A,S,2
NC,38,E,H,F,3,4,N,L,F,B,T,2
other,25,E,H,F,3,4,N,L,E,C,C,2
WA,5,E,U,F,2,4,N,L,D,A,U,2
other,51,E,U,F,2,4,N,L,F,D,R,3
other,33,U,H,M,2,4,N,L,G,A,C,3
NC,43,E,H,M,2,4,N,L,E,D,R,2
TX,35,I,H,M,3,4,N,L,F,B,T,1
CA,2,I,U,F,0,4,N,L,E,A,U,1
MI,13,I,H,F,2,4,N,L,E,A,S,1
CA,1,E,U,M,1,4,N,L,E,A,U,1
IN,36,U,U,F,0,4,N,L,F,D,T,2
other,21,U,H,other,3,4,N,L,F,B,S,3
CA,13,U,U,M,0,4,N,L,D,B,S,1
WI,34,U,U,F,0,4,N,L,F,B,T,1
CA,2,E,H,F,2,4,N,L,E,A,U,1
CA,1,E,U,F,1,12,N,L,F,A,U,1
CA,39,U,U,F,0,4,N,L,F,A,T,2
GA,35,U,H,M,3,4,N,L,E,A,T,1
other,24,U,U,F,0,4,Y,L,F,B,C,1
CA,7,E,U,M,2,4,Y,L,E,A,U,2
other,28,E,H,F,3,4,N,L,F,C,C,2
IL,27,I,U,M,0,4,N,L,F,B,C,2
WA,26,U,U,M,1,4,Y,L,F,B,C,2
other,42,U,U,M,0,4,N,L,G,C,R,1
other,40,U,U,M,0,4,N,L,F,C,T,2
CA,1,U,U,F,0,4,N,L,F,A,U,1
MI,11,E,U,M,2,4,N,L,G,B,S,1
other,16,E,H,F,3,4,N,L,E,C,S,2
GA,40,U,U,F,0,4,N,L,E,C,T,2
CA,14,U,U,F,0,4,N,L,F,A,S,1
other,27,E,U,F,3,4,N,L,E,C,C,2
FL,11,I,U,F,0,4,N,L,F,B,S,1
other,43,E,H,M,2,4,N,L,G,D,R,2
other,14,E,H,F,3,4,N,L,F,C,S,1
IL,24,E,H,F,2,4,Y,L,F,C,C,1
CA,24,E,H,F,3,4,N,L,G,A,C,1
other,47,E,H,M,3,4,N,L,G,D,R,2
TX,14,U,U,M,1,4,N,L,G,D,S,1
CA,29,E,H,M,3,4,N,L,E,A,C,2
MI,51,I,U,F,2,4,N,L,F,D,R,3
TX,45,E,U,F,2,4,N,L,F,D,R,2
other,35,E,H,F,3,4,Y,L,G,B,T,1
FL,39,E,H,F,3,4,N,L,D,B,T,2
CA,13,E,H,M,3,4,Y,L,F,A,S,1
TX,12,E,H,M,2,4,N,L,G,B,S,1
CA,28,E,H,F,3,4,N,L,G,A,C,2
NC,47,E,U,F,3,4,N,L,G,D,R,2
TX,31,U,U,F,0,4,N,L,F,C,C,3
other,23,E,U,M,3,4,N,L,G,A,C,1
other,15,E,H,M,3,4,N,L,F,B,S,1
NC,47,E,U,F,2,4,N,L,E,C,R,2
CA,44,E,H,M,2,4,N,L,E,B,R,2
CA,12,E,H,F,3,4,N,L,E,A,S,1
other,28,E,H,M,3,4,N,L,E,A,C,2
FL,40,E,H,M,3,12,N,L,G,A,R,2
GA,40,U,U,F,0,4,N,L,F,A,R,2
other,25,I,H,F,3,12,N,L,E,B,C,2
other,49,E,H,F,2,4,Y,L,E,D,R,2
other,36,E,H,M,3,12,N,L,G,C,T,2
other,36,U,U,M,0,4,N,L,G,C,T,2
TX,40,E,H,other,3,12,Y,L,D,C,R,2
other,10,E,H,M,1,4,N,L,F,B,U,4
TX,14,E,H,F,2,4,N,L,G,A,S,1
NC,47,U,U,M,3,4,N,L,G,D,R,2
CA,10,U,U,F,0,4,N,L,F,A,U,4
MO,2,E,H,M,3,4,N,L,F,B,U,1
NC,47,E,U,F,2,4,N,L,F,C,R,2
FL,43,E,H,F,2,4,N,L,G,C,R,2
other,25,U,U,F,0,4,N,L,E,B,C,2
FL,29,E,H,M,3,4,N,L,D,B,C,2
NC,40,U,U,F,2,4,N,L,F,B,T,2
other,16,U,U,F,0,4,N,L,D,A,S,2
other,11,E,H,F,2,4,Y,L,F,B,S,1
MO,49,I,U,M,0,4,N,L,E,D,R,2
CA,6,I,H,M,1,4,N,L,E,A,U,2
NC,23,E,H,M,1,4,N,L,F,C,C,1
FL,4,E,H,F,3,4,N,L,F,A,U,2
TX,24,E,H,F,3,4,Y,L,F,A,C,1
other,46,U,U,F,0,4,N,L,D,D,R,2
CA,35,E,H,F,1,4,N,L,F,A,T,1
other,35,I,U,F,0,4,N,L,F,B,T,1
other,26,U,H,other,3,4,N,L,F,B,C,2
IL,36,U,U,F,3,4,N,L,F,D,T,2
TX,40,E,H,M,3,4,N,L,E,A,T,2
FL,10,U,H,F,3,4,N,L,F,A,U,4
WA,1,E,U,F,1,4,N,L,F,A,U,1
other,14,E,H,M,3,4,N,L,E,B,S,1
other,18,E,H,F,2,4,N,L,E,A,S,2
other,45,E,H,F,2,12,N,L,E,D,R,2
FL,21,E,U,F,2,4,N,L,F,A,S,3
IN,24,I,H,M,3,4,N,L,G,C,C,1
other,51,E,H,M,2,4,N,L,F,D,R,3
other,30,E,H,F,3,4,N,L,F,D,C,3
other,39,E,H,F,2,4,N,L,E,C,T,2
CA,12,I,U,F,0,4,N,L,G,A,S,1
FL,37,E,H,M,3,4,N,L,F,C,T,2
other,12,E,H,F,2,4,N,L,F,B,S,1
MI,36,E,H,M,2,4,Y,L,F,C,T,2
other,31,E,H,F,3,4,N,L,F,D,C,3
MO,43,I,U,M,0,4,N,L,E,D,R,2
MO,40,U,U,F,0,12,N,L,F,B,R,2
other,28,E,H,M,3,4,Y,L,F,B,C,2
CA,37,E,H,F,2,12,N,L,F,C,T,2
